individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.26 14:15:50,31.087277,-85.821532
1,2022.02.26 14:30:45,31.087411,-85.821355
1,2022.02.26 14:46:12,31.0874,-85.821463
1,2022.02.26 15:01:36,31.087397,-85.821429
1,2022.02.26 15:16:07,31.08739,-85.821475
1,2022.02.26 15:31:02,31.087388,-85.821465
1,2022.02.26 15:45:55,31.087389,-85.821529
1,2022.02.26 16:00:41,31.087382,-85.821415
1,2022.02.26 16:16:07,31.087406,-85.821396
1,2022.02.26 16:31:25,31.087177,-85.821561
1,2022.02.26 16:46:07,31.087415,-85.821408
1,2022.02.26 17:00:59,31.087294,-85.821197
1,2022.02.26 17:16:00,31.08779,-85.821583
1,2022.02.26 17:31:00,31.087517,-85.821489
1,2022.02.26 17:46:01,31.087384,-85.821352
1,2022.02.26 18:00:55,31.087331,-85.821186
1,2022.02.26 18:16:02,31.086986,-85.821236
1,2022.02.26 18:31:56,31.087253,-85.821559
1,2022.02.26 18:46:31,31.087377,-85.821465
1,2022.02.26 19:01:07,31.087394,-85.821386
1,2022.02.26 19:16:06,31.087502,-85.821425
1,2022.02.26 19:31:37,31.087395,-85.821471
1,2022.02.26 19:46:54,31.08738,-85.821401
1,2022.02.26 20:00:44,31.087456,-85.821406
1,2022.02.26 20:15:55,31.087495,-85.821471
1,2022.02.26 20:30:50,31.08734,-85.821366
1,2022.02.26 20:46:25,31.087407,-85.821421
1,2022.02.26 21:00:50,31.087219,-85.821609
1,2022.02.26 21:16:31,31.087325,-85.821344
1,2022.02.26 21:31:01,31.087489,-85.821415
1,2022.02.26 21:45:50,31.087469,-85.82136
1,2022.02.26 22:01:07,31.087431,-85.821269
1,2022.02.26 22:16:30,31.087446,-85.821207
1,2022.02.26 22:30:55,31.087343,-85.82143
1,2022.02.26 22:46:30,31.087485,-85.821301
1,2022.02.26 23:00:50,31.087363,-85.821441
1,2022.02.26 23:16:31,31.0872,-85.82163
1,2022.02.26 23:30:40,31.087376,-85.821284
1,2022.02.26 23:46:02,31.087385,-85.821375
1,2022.02.27 00:00:50,31.087374,-85.821157
1,2022.02.27 00:15:50,31.087365,-85.821326
1,2022.02.27 00:30:50,31.087435,-85.821434
1,2022.02.27 00:45:50,31.087378,-85.821383
1,2022.02.27 01:00:50,31.087385,-85.82134
1,2022.02.27 01:15:55,31.087412,-85.821332
1,2022.02.27 01:30:50,31.087367,-85.821473
1,2022.02.27 01:46:06,31.087271,-85.821312
1,2022.02.27 02:00:40,31.087408,-85.821484
1,2022.02.27 02:15:39,31.087425,-85.821398
1,2022.02.27 02:30:55,31.087478,-85.8214
1,2022.02.27 02:46:31,31.087375,-85.821072
